PRODUCT_ID,PRODUCT_NAME,SUMMARY,PRICE,CATEGORY_IDS,IMAGE_URL,STYLE,SIZE,SwatchColors,BaseProduct
300737578,Jackson Tee SS grey heather L,,30.74,250100|streetwear|Billabong,/medias/?context=bWFzdGVyfGltYWdlc3w0NTk0fGltYWdlL2pwZWd8YVcxaFoyVnpMMmhsTmk5b09UVXZPRGM1TmpnM016TTVNakUxT0M1cWNHY3wzMmUyYzI3NDMyZGJkM2Y3YTA1OWVkODNiZGJmMWU0MTM0MjQxOGQ5Mzg2MmM2ZjU2MDg4YWQ4NWQzM2E4YmZl,,,,122340
300615225,Solo Parenth SS black L,,22.64,250100|streetwear|Alien Workshop,/medias/?context=bWFzdGVyfGltYWdlc3w0MTc4fGltYWdlL2pwZWd8YVcxaFoyVnpMMmc1TkM5b1pUY3ZPRGM1TmpnM05UQXpNRFUxT0M1cWNHY3xjOTdhMDdjMzc2MDIzNDNmYmI3NjUwNTE0MzJhZGY4NzE2MWNhM2YzYjlmMGJlN2ZlODc3ZTQ2YjNmM2QyODcz,,,,122800
300737941,Eclipse SS youth aquatic blue XS,,18.59,270100|kids|streetwear|Billabong,/medias/?context=bWFzdGVyfGltYWdlc3wzNjk2fGltYWdlL2pwZWd8YVcxaFoyVnpMMmczWVM5b1lXSXZPRGM1TmpnM05qWTJPRGsxT0M1cWNHY3w5ODRjZjFmNDFiM2Q3NTc1YjgwYTc2YTJhMmE4MjViMDA2YWUwYWVlNzM5ZjAzMjg0NTliNGRjOTQ4M2RlZmFi,,,,122405
300738204,Skull 80 SS youth navy S,,20.21,270100|kids|streetwear|Billabong,/medias/?context=bWFzdGVyfGltYWdlc3w0MTc4fGltYWdlL2pwZWd8YVcxaFoyVnpMMmd5Tnk5b1lXRXZPRGM1TmpnM09UWXhPREEzT0M1cWNHY3xiNDA4YzI5ZTk3NDlhNmNmODg2YTZjODVhOGQxNTkxODBhZGI0MzI5NGIzZDg1YWVlNTkwZmQ5MDIxZWRhOWMz,,,,122412
300738114,Asterisk SS youth black XS,,20.21,270100|kids|streetwear|Billabong,/medias/?context=bWFzdGVyfGltYWdlc3w0MjUxfGltYWdlL2pwZWd8YVcxaFoyVnpMMmhrTXk5b1ltRXZPRGM1TmpnNE1Ea3lPRGM1T0M1cWNHY3w0Y2FkMGI4ZmNkMGU2MzNmZjE1MTYyNTdhYjk4MmFhNzQ0NzEwZGIzYTY3Y2VlOTllNjEyNDZjNDQ2NjhmOGFj,,,,122409
300738142,Thort SS youth black XS,,20.21,270100|kids|streetwear|Billabong,/medias/?context=bWFzdGVyfGltYWdlc3wzOTM3fGltYWdlL2pwZWd8YVcxaFoyVnpMMmhpTVM5b1l6TXZPRGM1TmpnNE1qVTJOekU1T0M1cWNHY3w4MGM3Nzk3NDE0ZWRlMWRlM2RlZjVhMDI3ZTIyNGJhODUxODk5MjA4ODZlZDI1Yjg5OTFlY2Y1OTMxZGExOWI4,,,,122410
300564006,Monster SS Youth Girls fuchsia/pink L,,12.92,270100|kids|streetwear|Blue Tomato,/medias/?context=bWFzdGVyfGltYWdlc3w0NTg2fGltYWdlL2pwZWd8YVcxaFoyVnpMMmd3TXk5b056SXZPRGM1TmpnNE5ESXdOVFU1T0M1cWNHY3xiMTk1MTg2N2E5YWU1ODZkOTNiNDVkYTBhMWU4ZmNjZmQ4NjE1YmQ2ZDJjMDc2ODY2N2ZjYzNjNjZmNWU1Yjg2,,,,117080
300720127,Flow Tee SS Youth bright white L,,18.59,270100|kids|streetwear|Burton,/medias/?context=bWFzdGVyfGltYWdlc3wzOTY4fGltYWdlL2pwZWd8YVcxaFoyVnpMMmcyT1M5b05qTXZPRGM1TmpnNE5EZzJNRGsxT0M1cWNHY3w5OTYzOGQwMDBkNTQ4ZmJiYWExNjgzNjBlYWQxYzJhNzk4OTUzNTRjOTgwYTg5N2E0NmNmMWI5YjE1YjJlZWZj,,,,138966
300742883,Gary Polo SS Youth lime XS,,30.74,270100|kids|streetwear|Billabong,/medias/?context=bWFzdGVyfGltYWdlc3wzNjUyfGltYWdlL2pwZWd8YVcxaFoyVnpMMmhoWVM5b09XVXZPRGM1TmpnNE5qUTVPVE0xT0M1cWNHY3xiNGM4OTM4YjlmMzM4YmE0NmM4ZmYxODEzYzhlNjk2ZDBiZWJmZWFkZjc0ODQwNjc2MDg4YmQ4MjQwYjU2Zjk4,,,,140501
300772559,Del Chaos Tee SS Youth white L,,20.21,270100|kids|streetwear|DC,/medias/?context=bWFzdGVyfGltYWdlc3w1MTg5fGltYWdlL2pwZWd8YVcxaFoyVnpMMmhtWkM5b05EVXZPRGM1TmpnNE56RTFORGN4T0M1cWNHY3w3MjcwMWE1NjE0YjViZjkxOTllY2MzMGQ1MmRiZjM5ODJiZTEzOTJkMjM3YzZkNDgxOGFhMGY2NGZhYWNiMjNm,,,,144862
